Motif,RBP
MTF11562,QKI
MTF11287,NELFE
MTF10791,PTBP1
MTF10875,PTBP1
MTF10761,KHSRP
MTF11393,KHSRP
MTF10944,ZFP36L2
MTF11545,SRSF1
MTF11250,CSTF2
MTF11279,PPIE
MTF10818,NELFE
MTF11564,PTBP1
MTF11248,KHSRP
MTF10767,PTBP1
MTF10715,G3BP1
MTF11661,PPIE
MTF11707,ZFP36
MTF11519,SRSF1
MTF11686,KHSRP
MTF11387,SFPQ
MTF10788,HNRNPA1
MTF10735,PPIE
MTF11384,GRSF1
MTF10611,ELAVL3
MTF10817,ZFP36
MTF11079,YTHDC1
MTF10673,PTBP1
MTF11581,HNRNPA1
MTF11504,KHSRP
MTF11017,SSB
MTF11561,PTBP1
MTF10862,CSTF2
MTF11177,KHSRP
MTF11672,KHSRP
MTF10626,NOVA1
MTF10879,KHSRP
MTF11677,QKI
MTF11099,PTBP1
MTF11567,HNRNPA1
MTF10908,PUM1
MTF10852,PPIE
MTF10850,HNRNPAB
MTF10739,FMR1
MTF11030,KHSRP
MTF10807,PUM1
MTF11520,QKI
MTF11140,ELAVL1
MTF11163,ELAVL3
MTF11629,PPIE
MTF11089,FMR1
MTF11179,PCBP1
MTF10632,ELAVL2
MTF10691,AKAP1
MTF11706,NOVA1
MTF11704,PTBP1
MTF10846,QKI
MTF11383,PTBP1
MTF11454,PUM2
MTF11465,ZFP36
MTF11238,A1CF
MTF10637,CSTF2
MTF11613,PUM1
MTF11557,PUM2
MTF11270,PTBP1
MTF11576,IGF2BP3
MTF11599,ELAVL3
MTF11254,SF1
MTF10835,HNRNPK
MTF10972,NELFE
MTF11712,HNRNPA3
MTF11117,YBX1
MTF11389,HNRNPA2B1
MTF10896,SRSF1
MTF11235,ZFP36
MTF11379,PUM2
MTF10712,HNRNPH1
MTF11156,PTBP1
MTF11598,PTBP1
MTF10742,PUM1
MTF10809,ZFP36
MTF10753,RBFOX2
MTF11423,HNRNPH2
MTF11440,PTBP1
MTF10630,TARDBP
MTF11350,SRSF10
MTF11530,PUM1
MTF10786,ZFP36
MTF11556,PCBP2
MTF10900,ELAVL1
MTF11376,CSTF2
MTF10680,SRSF10
MTF11596,ELAVL1
MTF10932,PTBP1
MTF11636,PCBP2
MTF11319,SRSF1
MTF11433,HNRNPLL
MTF11252,HNRNPF
MTF11211,KHSRP
MTF10659,KHSRP
MTF11206,TARDBP
MTF11670,HNRNPH3
MTF11097,HNRNPA1
MTF10957,KHSRP
MTF10718,NONO
MTF11724,SRSF1
MTF10839,IGHMBP2
MTF11229,SUPV3L1
MTF10756,DDX19B
MTF10885,CPEB1
MTF10951,PCBP2
MTF11053,RBFOX1
MTF11340,PUM1
MTF10816,PUM1
MTF11256,SRP14
MTF11343,PUM1
MTF11391,SRP14
MTF10905,CPEB4
MTF11127,SNRPA
MTF11276,SRP68
MTF11161,QKI
MTF11018,ELAVL4
MTF11632,RC3H1
MTF10702,AGO1
MTF11709,PUM2
MTF10989,SRP68
MTF11637,CELF2
MTF11336,F2
MTF10682,ELAVL1
MTF10804,TRA2B
MTF11102,PCBP2
MTF11134,SRSF1
MTF11705,DHX9
MTF11711,PTBP1
MTF11241,DDX58
MTF11675,OAS1
MTF10870,ZNF346
MTF10714,PUM1
MTF11016,IFIH1
MTF11643,AGO2
MTF10977,IFIH1
MTF11498,SRP19
MTF10602,PUM1
MTF10837,EIF4A3
MTF11582,SRP54
MTF11497,RBMY1A1
MTF11543,ERI1
MTF11262,AGO2
MTF11022,PABPC1
MTF10666,NXF1
MTF11512,PUM1
MTF10886,NUDT21
MTF11578,DHX58
MTF11518,ELAVL4
MTF10795,CELF1
MTF11693,EIF4A3
MTF10654,CMTR1
MTF10891,ZFP36L2
MTF11324,EIF4A3
MTF11155,DHX9
MTF11419,CELF1
MTF10700,SRSF2
MTF11317,NOVA1
MTF11139,SRP14
MTF10927,FMR1
MTF11266,PABPC1
MTF10721,NXF1
MTF10979,SRP54
MTF11339,SSB
MTF11165,DHX9
MTF11100,NOVA1
MTF11071,U2AF2
MTF10844,U2AF2
MTF11658,RC3H1
MTF11220,XPO5
MTF10876,SRP19
MTF10894,PHAX
MTF10679,DDX58
MTF11246,ELAVL1
MTF11237,CELF1
MTF11584,PABPC1
MTF10787,ZNF346
MTF10833,PUM1
MTF11479,OAS1
MTF11646,PTBP1
MTF10964,NOVA2
MTF11070,SRP68
MTF11410,ADAR
MTF11508,SF1
MTF11405,NUDT21
MTF11426,SRP68
MTF11438,SRSF2
MTF11059,PUM2
MTF10676,SNRPB2
MTF10800,LIN28A
MTF11133,PIWIL1
MTF11253,AGO1
MTF11105,SRP54
MTF11354,DDX58
MTF10999,ELAVL1
MTF10703,PUM2
MTF10820,ERI1
MTF11360,SNRPA
MTF10743,SSB
MTF11212,CELF1
MTF11600,RBMX
MTF10618,TRA2B
MTF10738,RC3H1
MTF10683,PUM1
MTF11590,OAS1
MTF11101,ADAR
MTF10897,PTBP1
MTF11352,SRP19
MTF11044,TARDBP
MTF10827,CELF1
MTF11273,PUM1
MTF10988,IFIH1
MTF11201,SRP19
MTF11517,SSB
MTF10914,DDX19B
MTF11634,RNASEL
MTF11281,NOVA2
MTF10701,SRP54
MTF11364,PUM1
MTF11187,SRP68
MTF10857,NXF1
MTF10954,SRP68
MTF11075,NUDT21
MTF11536,XPO5
MTF10669,IGHMBP2
MTF11468,SRSF7
MTF11390,SRSF7
MTF10704,SRSF7
MTF11500,SRSF7
MTF11372,SRSF7
MTF11615,SRSF7
MTF10925,SRSF7
MTF10686,SRSF7
MTF10717,SRSF7
MTF11695,CELF1
MTF11218,DAZAP1
MTF11269,DAZAP1
MTF10713,DAZAP1
MTF11057,DAZAP1
MTF11286,DAZAP1
MTF11192,DAZAP1
MTF10728,DAZAP1
MTF10856,DAZAP1
MTF11533,ESRP1
MTF11653,CELF2
MTF10843,CELF2
MTF11223,FMR1
MTF10780,FMR1
MTF11224,FMR1
MTF10997,FMR1
MTF11282,FMR1
MTF11683,FMR1
MTF11293,FMR1
MTF10619,FMR1
MTF11061,RBFOX1
MTF11493,RBFOX1
MTF11663,RBFOX1
MTF10983,RBFOX1
MTF10947,RBFOX1
MTF11625,RBFOX1
MTF11696,RBFOX2
MTF11021,RBFOX2
MTF10909,RBFOX2
MTF10811,RBFOX2
MTF11001,RBFOX2
MTF10889,HNRNPA0
MTF11330,HNRNPA0
MTF10616,HNRNPA0
MTF10609,HNRNPA0
MTF11323,HNRNPA1
MTF11435,HNRNPA1
MTF11332,HNRNPA1
MTF11231,HNRNPA1
MTF10994,HNRNPA1
MTF10708,HNRNPA1
MTF11166,HNRNPA1
MTF10953,HNRNPA1
MTF10774,HNRNPA1
MTF11157,HNRNPA1
MTF11638,HNRNPA1
MTF11626,HNRNPA1
MTF10853,HNRNPA1
MTF10737,HNRNPA1
MTF10707,HNRNPA1
MTF11168,HNRNPA1
MTF11374,HNRNPA1
MTF11085,HNRNPA1
MTF10937,HNRNPA1
MTF11041,HNRNPA1
MTF10992,HNRNPA1
MTF10628,HNRNPA1
MTF11652,HNRNPA1
MTF11056,HNRNPA1
MTF10822,HNRNPA1
MTF10858,HNRNPA1
MTF10772,HNRNPA1
MTF11662,HNRNPA1
MTF11264,HNRNPA1
MTF11308,HNRNPA1
MTF11445,HNRNPA1
MTF11541,HNRNPA1
MTF11382,HNRNPA1
MTF10687,HNRNPA1
MTF11272,HNRNPA1
MTF10826,HNRNPA1
MTF11505,HNRNPA1
MTF11084,HNRNPA1
MTF11362,HNRNPA1
MTF11414,HNRNPA1
MTF11415,HNRNPA1
MTF11404,HNRNPA1
MTF11172,HNRNPA1
MTF11267,HNRNPA1
MTF10604,HNRNPA1
MTF11402,HNRNPA1
MTF10681,HNRNPA1
MTF11513,HNRNPA1
MTF11648,HNRNPA1
MTF10968,HNRNPA1
MTF10865,HNRNPA1
MTF11038,HNRNPA2B1
MTF10752,HNRNPA2B1
MTF10928,HNRNPA2B1
MTF11232,HNRNPA2B1
MTF11666,HNRNPA2B1
MTF10910,HNRNPA2B1
MTF10926,HNRNPA2B1
MTF11058,HNRNPA2B1
MTF10597,HNRNPA2B1
MTF10801,HNRNPA2B1
MTF11325,HNRNPA2B1
MTF11348,HNRNPA2B1
MTF11485,HNRNPA2B1
MTF10836,HNRNPA2B1
MTF11432,HNRNPA2B1
MTF10903,HNRNPC
MTF11368,HNRNPC
MTF11548,HNRNPC
MTF11609,HNRNPC
MTF10848,HNRNPC
MTF11444,HNRNPC
MTF11334,HNRNPC
MTF10890,HNRNPC
MTF11333,HNRNPC
MTF11589,HNRNPC
MTF11474,HNRNPC
MTF11042,HNRNPC
MTF11714,HNRNPC
MTF11614,HNRNPC
MTF11639,HNRNPD
MTF10866,HNRNPD
MTF11544,HNRNPD
MTF11563,HNRNPD
MTF11575,HNRNPD
MTF11234,HNRNPD
MTF11655,HNRNPD
MTF11118,HNRNPD
MTF10620,HNRNPD
MTF11521,HNRNPD
MTF11051,HNRNPDL
MTF10973,HNRNPDL
MTF11086,HNRNPDL
MTF11280,PCBP1
MTF11342,PCBP1
MTF11129,PCBP1
MTF11210,PCBP1
MTF11401,PCBP1
MTF11611,PCBP1
MTF10808,PCBP1
MTF10724,PCBP1
MTF10936,PCBP1
MTF11422,PCBP1
MTF10981,PCBP1
MTF11640,PCBP1
MTF11322,PCBP1
MTF11263,PCBP1
MTF10851,PCBP1
MTF10912,PCBP1
MTF11096,PCBP1
MTF11644,PCBP1
MTF11593,PCBP1
MTF11692,PCBP1
MTF10634,PCBP1
MTF11299,PCBP1
MTF11595,PCBP1
MTF11032,PCBP1
MTF11175,PCBP1
MTF11170,PCBP1
MTF11462,PCBP1
MTF11506,PCBP1
MTF11494,PCBP2
MTF11361,PCBP2
MTF11601,PCBP2
MTF10651,PCBP2
MTF11312,PCBP2
MTF11116,PCBP2
MTF11245,PCBP2
MTF11328,PCBP2
MTF11130,PCBP2
MTF11154,PCBP2
MTF11461,PCBP2
MTF10722,PCBP2
MTF10805,PCBP2
MTF10930,PCBP2
MTF11239,PCBP2
MTF11617,PCBP2
MTF11186,PCBP2
MTF10828,PCBP2
MTF11298,PCBP2
MTF11258,PCBP2
MTF10815,PCBP2
MTF11685,PCBP2
MTF11554,PCBP2
MTF10955,PCBP2
MTF11690,HNRNPF
MTF10877,HNRNPF
MTF10995,HNRNPF
MTF11449,HNRNPF
MTF10725,HNRNPF
MTF11588,HNRNPF
MTF11528,HNRNPF
MTF10824,HNRNPF
MTF10902,HNRNPF
MTF11710,HNRNPF
MTF10640,HNRNPF
MTF11300,HNRNPF
MTF11673,HNRNPF
MTF10860,HNRNPF
MTF11525,HNRNPF
MTF11122,HNRNPF
MTF11552,HNRNPF
MTF11132,HNRNPF
MTF10775,HNRNPF
MTF11095,HNRNPF
MTF11011,HNRNPF
MTF10943,HNRNPF
MTF10769,HNRNPF
MTF11558,HNRNPF
MTF11486,HNRNPF
MTF11406,HNRNPF
MTF11078,HNRNPF
MTF11185,HNRNPF
MTF11002,HNRNPF
MTF11411,HNRNPF
MTF11412,HNRNPF
MTF11651,HNRNPF
MTF10693,HNRNPF
MTF10677,HNRNPF
MTF10929,HNRNPF
MTF11492,HNRNPF
MTF11650,HNRNPF
MTF10798,HNRNPF
MTF11268,HNRNPF
MTF10694,HNRNPF
MTF10656,RBMX
MTF11363,RBMX
MTF11394,RBMX
MTF10952,RBMX
MTF11466,RBMX
MTF11357,RBMX
MTF11048,RBMX
MTF11142,HNRNPH1
MTF11307,HNRNPH1
MTF10744,HNRNPH1
MTF11216,HNRNPH1
MTF10635,HNRNPH1
MTF10831,HNRNPH1
MTF11539,HNRNPH1
MTF11540,HNRNPH1
MTF11297,HNRNPH1
MTF11718,HNRNPH1
MTF11623,HNRNPH1
MTF11511,HNRNPH1
MTF10705,HNRNPH1
MTF11219,HNRNPH1
MTF11296,HNRNPH1
MTF11668,HNRNPH1
MTF11080,HNRNPH1
MTF10730,HNRNPH1
MTF10638,HNRNPH1
MTF11037,HNRNPH1
MTF11033,HNRNPH1
